BGC0000299.1
BGC0001129.1
BGC0001161.1
BGC0001162.1
BGC0001315.1
BGC0001316.1
BGC0001317.1
BGC0001318.1
BGC0001319.1
BGC0001319.2
BGC0001320.1
BGC0001320.2
BGC0001325.1
BGC0001487.1
BGC0001601.1
BGC0001602.1
