BGC0000159	EF990140	16707708;18708355;19281218
BGC0000160	CH476602	25265334
BGC0000161	CH476594	21236704
BGC0000162	EU443633	18586939
BGC0000163	FJ462704	8449312
BGC0000164	AB193609	18404760
BGC0000165	HQ011923.1	21186805;21633995
BGC0000166	U78289	18693734
BGC0000167	AB086653	15112997
BGC0000168	GU574477	20534346;22590971;24161266;19168978;23168407;23893651;25317739
BGC0000170	ACJE01000012	24684908
BGC0000171	FR878059	23438151
BGC0000172	AXBT01000013	24595070
BGC0000173	JX173632	22999884;20237660;4718704;18510943;10028245;1276139
BGC0000174	DQ889941	15556005;1725385
BGC0000175	JX014302	24815182;21139626
BGC0000176	AJ634062	16707694
BGC0000177	GQ274953	19726666;23394593;12002995;15700980
BGC0000178	HQ680975	21472917
BGC0000179	AM746676	18826315
BGC0000180	KM222819	23821465
BGC0000181	AJ634061	16707694;17704766;17844999
BGC0000182	AF318063	11495990;12770824;15583005;15726184;16039529;17383964;17713071;20013982;21318358;24625190
BGC0000183	GQ262808;GQ262809;GQ262810;GQ262811	21375709
BGC0000184	HM584908	20715267
BGC0000185	CP001614	24146831
BGC0000186	CP000085	22765305
BGC0000187	GQ926890.1	25489112
BGC0000188	DQ787200	18487408
BGC0000189	FN667741	24488732
BGC0000190	GU937384	20550125
BGC0000191	AB008466	12399480
BGC0000192	AF257324	12137949
BGC0000193	AF264025	11016846
BGC0000194	AL645882	12000953;8843436
BGC0000195	EU852062	18940666;22467789;22474343;23297194
BGC0000196	BX470251	22544021
BGC0000197	DQ915964.1	17357167;5433438;1335359;5478623;1322986;16713002;18553079
BGC0000198	NZ_AZXI01000002	24191063;19927167
BGC0000199	KF040454	24038656
BGC0000200	KF931341	24730509
BGC0000201	KJ396772	12384301;16079347;20466770;21393365;23081778;23373695;23763439;24265028;25219533
BGC0000202	GU134622	19928906
BGC0000203	HM055942	20443562
BGC0000204	AM501485	19047004;17691088;17625850;17439117;1429222;1429223;1468985;11092982
BGC0000205	DQ889942	17253852
BGC0000206	AJ786382;AJ786383	15911378;14529449;12384604;12107551
BGC0000207	AJ786383	15911378
BGC0000208	KC870000	24043447
BGC0000209	HM627755	23800859
BGC0000210	AJ578458	21342468;21244022;17768249;16391039;15255901;15112992
BGC0000211	FN565166	20140934
BGC0000212	GG770539	24191063
BGC0000213	KF850685	24838618
BGC0000214	DQ280500	16810496
BGC0000215	X62518	1644304
BGC0000216	JX262387	23024027
BGC0000217	L34880	7928998
