bgc_id	gene_ids
BGC0001145	id='WP_004943465',name='ctmB';id='WP_004943468',name='ctmA';id='WP_004943471',name='ctmD';id='WP_004943473',name='ctmE';id='WP_004943476',name='ctmF';id='WP_004943480',name='ctmG';id='WP_004943488',name='ctmH'
BGC0001147	id='AIS24865.1',name='dst23';id='AIS24866.1',name='dst24';id='AIS24867.1',name='dst25';id='AIS24868.1',name='dst14';id='AIS24869.1',name='dst26'
BGC0001166	id='AGQ43601.1',name='TOXA';id='AGQ43602.1',name='TOXC';id='AGQ43604.1',name='TOXE';id='AGQ43605.1',name='TOXF';id='AGQ43606.1',name='TOXG'
BGC0001169	id='GI:570518041',name='pieB1';id='GI:570518044',name='pieB2';id='GI:570518045',name='pieE'
BGC0001170	id='CLOSPO_01168',name='closA';id='CLOSPO_01169',name='closB';id='CLOSPO_01170',name='closC';id='CLOSPO_01171',name='closD';id='CLOSPO_01172',name='closE';id='CLOSPO_01174',name='closG';id='CLOSPO_01175',name='closH';id='CLOSPO_01176',name='closI'
BGC0001171	id='',name='llsA'
BGC0001173	id='BAT_2474',name='pznK';id='BAT_2473',name='pznG';id='BAT_2472',name='pznH';id='BAT_4209',name='pznA';id='BAT_2469',name='pznC';id='BAT_2468',name='pznD';id='BAT_2467',name='pznB';id='BAT_2466',name='pznE';id='BAT_2465',name='pznL'
BGC0001174	id='',name='pznA'
BGC0001177	id='',name='MsnM6'
BGC0001182	id='XP_001220460',name='CHGG_01239 ';id='XP_001220463',name='CHGG_01242-1';id='XP_001220463',name='CHGG_01242-2'
BGC0001184	id='ABS75236.1',name='dhbA';id='ABS75235.1',name='dhbC';id='ABS75234.1',name='dhbE';id='ABS75233.1',name='dhbB';id='ABS75232.1',name='ABS75232.1'
BGC0001221	id='CnqPT1',name='cnqPT1'
BGC0001228	id='WP_028678149.1',name='rtmO';id='WP_043555673.1',name='rtmM';id='WP_051419351.1',name='rtmL';id='WP_051419347.1',name='rtmK';id='WP_051419352.1',name='rtmJ';id='WP_043555682.1',name='rtmI';id='WP_028678152.1',name='rtmH';id='WP_051419348.1',name='rtmG';id='WP_028678153.1',name='rtmF';id='WP_051419353.1',name='rtmE';id='WP_051419354.1',name='rtmD';id='WP_051419355.1',name='rtmC';id='WP_043555647.1',name='rtmB';id='WP_043555649.1',name='rtmA'
BGC0001331	id='WP_019032751.1',name='No gene ID';id='WP_019032764.1',name='No gene ID'
BGC0001347	id='ANQ43348.1',name='No gene ID';id='ANQ43349.1',name='No gene ID'
BGC0001439	id='OWA00000',name='cvm17'
BGC0001469	id='RAT94096.1',name='marM'
